Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
SRR10983648	(14.0, 1127.0)	(15.0, 7004.0)	(16.0, 11730.0)	(17.0, 13139.0)	(18.0, 14504.0)	(19.0, 16905.0)	(20.0, 20334.0)	(21.0, 27594.0)	(22.0, 40677.0)	(23.0, 62064.0)	(24.0, 94306.0)	(25.0, 135530.0)	(26.0, 184619.0)	(27.0, 241326.0)	(28.0, 302046.0)	(29.0, 368419.0)	(30.0, 447621.0)	(31.0, 548852.0)	(32.0, 696177.0)	(33.0, 992182.0)	(34.0, 1923001.0)	(35.0, 4120102.0)	(36.0, 6676373.0)	
SRR10983649	(14.0, 1001.0)	(15.0, 6653.0)	(16.0, 10482.0)	(17.0, 11441.0)	(18.0, 12617.0)	(19.0, 14688.0)	(20.0, 17848.0)	(21.0, 24354.0)	(22.0, 35746.0)	(23.0, 54254.0)	(24.0, 82011.0)	(25.0, 118013.0)	(26.0, 159525.0)	(27.0, 206872.0)	(28.0, 260378.0)	(29.0, 318570.0)	(30.0, 387033.0)	(31.0, 474847.0)	(32.0, 604324.0)	(33.0, 857884.0)	(34.0, 1661166.0)	(35.0, 3544676.0)	(36.0, 5680053.0)	
SRR10983650	(14.0, 193.0)	(15.0, 1272.0)	(16.0, 1781.0)	(17.0, 1521.0)	(18.0, 1432.0)	(19.0, 1399.0)	(20.0, 1581.0)	(21.0, 1980.0)	(22.0, 2641.0)	(23.0, 3549.0)	(24.0, 5087.0)	(25.0, 7216.0)	(26.0, 9551.0)	(27.0, 12772.0)	(28.0, 15748.0)	(29.0, 20479.0)	(30.0, 25946.0)	(31.0, 33343.0)	(32.0, 46934.0)	(33.0, 76275.0)	(34.0, 186947.0)	(35.0, 386100.0)	(36.0, 310129.0)	
SRR10983651	(14.0, 938.0)	(15.0, 6412.0)	(16.0, 10795.0)	(17.0, 11939.0)	(18.0, 13423.0)	(19.0, 14407.0)	(20.0, 16728.0)	(21.0, 22332.0)	(22.0, 32690.0)	(23.0, 50495.0)	(24.0, 76460.0)	(25.0, 111441.0)	(26.0, 153721.0)	(27.0, 202351.0)	(28.0, 255603.0)	(29.0, 314930.0)	(30.0, 384116.0)	(31.0, 473241.0)	(32.0, 603084.0)	(33.0, 856616.0)	(34.0, 1650940.0)	(35.0, 3564519.0)	(36.0, 5764076.0)	
SRR10983652	(14.0, 1825.0)	(15.0, 11201.0)	(16.0, 15566.0)	(17.0, 14925.0)	(18.0, 15054.0)	(19.0, 17273.0)	(20.0, 20906.0)	(21.0, 28174.0)	(22.0, 41152.0)	(23.0, 61590.0)	(24.0, 91089.0)	(25.0, 128071.0)	(26.0, 172253.0)	(27.0, 223038.0)	(28.0, 278336.0)	(29.0, 339123.0)	(30.0, 408298.0)	(31.0, 502331.0)	(32.0, 642589.0)	(33.0, 928213.0)	(34.0, 1869868.0)	(35.0, 3850032.0)	(36.0, 5416358.0)	
SRR10983653	(14.0, 4676.0)	(15.0, 25937.0)	(16.0, 33732.0)	(17.0, 27032.0)	(18.0, 23606.0)	(19.0, 23457.0)	(20.0, 25616.0)	(21.0, 31070.0)	(22.0, 42042.0)	(23.0, 60931.0)	(24.0, 88354.0)	(25.0, 125124.0)	(26.0, 169900.0)	(27.0, 223236.0)	(28.0, 282825.0)	(29.0, 351065.0)	(30.0, 424710.0)	(31.0, 522357.0)	(32.0, 671946.0)	(33.0, 962377.0)	(34.0, 1887867.0)	(35.0, 4078876.0)	(36.0, 7390783.0)	
SRR10983654	(14.0, 2940.0)	(15.0, 16877.0)	(16.0, 22361.0)	(17.0, 19072.0)	(18.0, 17431.0)	(19.0, 18315.0)	(20.0, 21838.0)	(21.0, 28219.0)	(22.0, 39779.0)	(23.0, 58906.0)	(24.0, 86646.0)	(25.0, 122621.0)	(26.0, 167403.0)	(27.0, 218793.0)	(28.0, 277565.0)	(29.0, 344537.0)	(30.0, 420795.0)	(31.0, 522837.0)	(32.0, 675758.0)	(33.0, 972573.0)	(34.0, 1928521.0)	(35.0, 4225771.0)	(36.0, 7627786.0)	
SRR10983655	(14.0, 3866.0)	(15.0, 20903.0)	(16.0, 26362.0)	(17.0, 21807.0)	(18.0, 19799.0)	(19.0, 20211.0)	(20.0, 22689.0)	(21.0, 28275.0)	(22.0, 38086.0)	(23.0, 55002.0)	(24.0, 79213.0)	(25.0, 111300.0)	(26.0, 148939.0)	(27.0, 194055.0)	(28.0, 245560.0)	(29.0, 302265.0)	(30.0, 367583.0)	(31.0, 450645.0)	(32.0, 581290.0)	(33.0, 833830.0)	(34.0, 1643299.0)	(35.0, 3604124.0)	(36.0, 6440450.0)	
SRR10983656	(14.0, 284.0)	(15.0, 1442.0)	(16.0, 1790.0)	(17.0, 1446.0)	(18.0, 1144.0)	(19.0, 1109.0)	(20.0, 1139.0)	(21.0, 1366.0)	(22.0, 1857.0)	(23.0, 2605.0)	(24.0, 3668.0)	(25.0, 5293.0)	(26.0, 7041.0)	(27.0, 9090.0)	(28.0, 11651.0)	(29.0, 14358.0)	(30.0, 17672.0)	(31.0, 21865.0)	(32.0, 28449.0)	(33.0, 40456.0)	(34.0, 79124.0)	(35.0, 177207.0)	(36.0, 339682.0)	
SRR10983657	(13.0, 2.0)	(14.0, 1001.0)	(15.0, 6517.0)	(16.0, 10284.0)	(17.0, 10587.0)	(18.0, 10979.0)	(19.0, 11858.0)	(20.0, 13689.0)	(21.0, 17468.0)	(22.0, 25458.0)	(23.0, 37295.0)	(24.0, 54481.0)	(25.0, 77725.0)	(26.0, 104074.0)	(27.0, 133659.0)	(28.0, 166619.0)	(29.0, 203749.0)	(30.0, 247415.0)	(31.0, 303108.0)	(32.0, 388855.0)	(33.0, 560109.0)	(34.0, 1129308.0)	(35.0, 2278978.0)	(36.0, 3946023.0)
SRR10983658	(14.0, 962.0)	(15.0, 6239.0)	(16.0, 10016.0)	(17.0, 10336.0)	(18.0, 10777.0)	(19.0, 11945.0)	(20.0, 14069.0)	(21.0, 18317.0)	(22.0, 26225.0)	(23.0, 38497.0)	(24.0, 56936.0)	(25.0, 79617.0)	(26.0, 107583.0)	(27.0, 138605.0)	(28.0, 172907.0)	(29.0, 211311.0)	(30.0, 256415.0)	(31.0, 314694.0)	(32.0, 403712.0)	(33.0, 581929.0)	(34.0, 1168021.0)	(35.0, 2383116.0)	(36.0, 4152322.0)	
SRR10983659	(13.0, 1.0)	(14.0, 1166.0)	(15.0, 8257.0)	(16.0, 14074.0)	(17.0, 15299.0)	(18.0, 15351.0)	(19.0, 16444.0)	(20.0, 19051.0)	(21.0, 24137.0)	(22.0, 33793.0)	(23.0, 50001.0)	(24.0, 74576.0)	(25.0, 105672.0)	(26.0, 145114.0)	(27.0, 189223.0)	(28.0, 238187.0)	(29.0, 291519.0)	(30.0, 355471.0)	(31.0, 436428.0)	(32.0, 560695.0)	(33.0, 806730.0)	(34.0, 1602633.0)	(35.0, 3279751.0)	(36.0, 5765077.0)
SRR10983660	(14.0, 1166.0)	(15.0, 8029.0)	(16.0, 14010.0)	(17.0, 14865.0)	(18.0, 15567.0)	(19.0, 16668.0)	(20.0, 19459.0)	(21.0, 24555.0)	(22.0, 34553.0)	(23.0, 50370.0)	(24.0, 73875.0)	(25.0, 103569.0)	(26.0, 140005.0)	(27.0, 180190.0)	(28.0, 224976.0)	(29.0, 275404.0)	(30.0, 334287.0)	(31.0, 410941.0)	(32.0, 527757.0)	(33.0, 759300.0)	(34.0, 1508467.0)	(35.0, 3061278.0)	(36.0, 5346980.0)	
SRR10983661	(13.0, 3.0)	(14.0, 2392.0)	(15.0, 14056.0)	(16.0, 20013.0)	(17.0, 18620.0)	(18.0, 18161.0)	(19.0, 19204.0)	(20.0, 22359.0)	(21.0, 28741.0)	(22.0, 40407.0)	(23.0, 59525.0)	(24.0, 86437.0)	(25.0, 120584.0)	(26.0, 161163.0)	(27.0, 209313.0)	(28.0, 260782.0)	(29.0, 317481.0)	(30.0, 383387.0)	(31.0, 470363.0)	(32.0, 605224.0)	(33.0, 877181.0)	(34.0, 1779351.0)	(35.0, 3578242.0)	(36.0, 6081968.0)
SRR10983662	(14.0, 981.0)	(15.0, 6656.0)	(16.0, 11094.0)	(17.0, 11707.0)	(18.0, 12133.0)	(19.0, 13563.0)	(20.0, 16050.0)	(21.0, 21109.0)	(22.0, 30726.0)	(23.0, 46333.0)	(24.0, 68911.0)	(25.0, 98146.0)	(26.0, 132696.0)	(27.0, 172086.0)	(28.0, 214719.0)	(29.0, 264155.0)	(30.0, 321338.0)	(31.0, 394437.0)	(32.0, 505693.0)	(33.0, 730255.0)	(34.0, 1449676.0)	(35.0, 2969420.0)	(36.0, 5201783.0)	
SRR10983663	(14.0, 1046.0)	(15.0, 7182.0)	(16.0, 12161.0)	(17.0, 12894.0)	(18.0, 13352.0)	(19.0, 14556.0)	(20.0, 16438.0)	(21.0, 21194.0)	(22.0, 29470.0)	(23.0, 43890.0)	(24.0, 64386.0)	(25.0, 91950.0)	(26.0, 125037.0)	(27.0, 164399.0)	(28.0, 205154.0)	(29.0, 253317.0)	(30.0, 309140.0)	(31.0, 380339.0)	(32.0, 490837.0)	(33.0, 708412.0)	(34.0, 1416170.0)	(35.0, 2902882.0)	(36.0, 5123084.0)	
