Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR10983650	(1.0, 36.79845972163838)	(2.0, 9.111657659255757)	(3.0, 5.41874907632285)	(4.0, 4.182967398231844)	(5.0, 3.5140461596356323)	(6.0, 3.5289637969429672)	(7.0, 3.4518598864370227)	(8.0, 3.3506255979275563)	(9.0, 3.152817067961961)	('>10', 24.410803901756683)	('>50', 0.16241391071419264)	('>100', 0.2987053043205082)	('>500', 0.3025494205504299)	('>1k', 1.3269190295466153)	('>5k', 0.0)	('>10k+', 0.9884620687575986)
SRR10983651	(1.0, 49.97296082897355)	(2.0, 7.295520255300166)	(3.0, 4.871822632238602)	(4.0, 4.863672038634705)	(5.0, 4.92836095257261)	(6.0, 4.539484508735042)	(7.0, 3.915560957686897)	(8.0, 3.12298921511172)	(9.0, 2.341192994012593)	('>10', 8.001145687421934)	('>50', 0.8466557297494588)	('>100', 1.6608036863346454)	('>500', 0.7311972085715174)	('>1k', 1.3222158598937361)	('>5k', 0.4352136874845269)	('>10k+', 1.1512037572782696)
SRR10983652	(1.0, 15.085794318846983)	(2.0, 4.039045383399035)	(3.0, 2.5618852673111747)	(4.0, 1.887990729942585)	(5.0, 1.5633152055255333)	(6.0, 1.2725508642108008)	(7.0, 1.0120960021348053)	(8.0, 0.9205327383324252)	(9.0, 0.7560363226300375)	('>10', 11.123707808654817)	('>50', 3.5098506067524617)	('>100', 14.590026230211231)	('>500', 12.791278472751072)	('>1k', 12.093036592412783)	('>5k', 5.029700161628639)	('>10k+', 11.763153295255602)
SRR10983653	(1.0, 8.368437802843106)	(2.0, 2.244610907527079)	(3.0, 1.6142426507281242)	(4.0, 1.351312155313159)	(5.0, 1.166199861815369)	(6.0, 1.0179772023243179)	(7.0, 0.8712041219467876)	(8.0, 0.7325923779166769)	(9.0, 0.6528175240434879)	('>10', 9.011680231065379)	('>50', 4.047726484807024)	('>100', 10.27921252439548)	('>500', 14.228102855020191)	('>1k', 17.462713987735423)	('>5k', 6.222560087231501)	('>10k+', 20.728609225286853)
SRR10983654	(1.0, 9.090498378586503)	(2.0, 3.023888393569306)	(3.0, 2.401487605540376)	(4.0, 2.198100282581291)	(5.0, 1.86829232264746)	(6.0, 1.520901645224912)	(7.0, 1.2354554873850796)	(8.0, 0.9835116696617768)	(9.0, 0.7333727382458309)	('>10', 7.72441938136623)	('>50', 2.8390435867279127)	('>100', 10.731884749536977)	('>500', 12.46956047464997)	('>1k', 15.192734488807123)	('>5k', 6.0671944439902425)	('>10k+', 21.91965435147897)
SRR10983655	(1.0, 8.370819572581794)	(2.0, 2.3002219826935026)	(3.0, 1.5820691114630974)	(4.0, 1.3651744216866035)	(5.0, 1.2045832696004797)	(6.0, 1.0428058808951)	(7.0, 0.9055572087585895)	(8.0, 0.769126985245739)	(9.0, 0.6871363167981424)	('>10', 8.381261908013178)	('>50', 3.8247258688919388)	('>100', 11.10275863437474)	('>500', 13.579855957328851)	('>1k', 25.960254313594287)	('>5k', 3.2117866069727476)	('>10k+', 15.711861961101231)
SRR10983656	(1.0, 25.101648156825195)	(2.0, 5.096303749529709)	(3.0, 2.9805105080721863)	(4.0, 2.181538276322368)	(5.0, 1.7366539138361854)	(6.0, 1.5171467468422266)	(7.0, 1.4003682022033124)	(8.0, 1.395697689923574)	(9.0, 1.4451260304918987)	('>10', 41.354228754911055)	('>50', 3.7499563102955538)	('>100', 5.715974630975172)	('>500', 1.8451159237831964)	('>1k', 4.479731105988378)	('>5k', 0.0)	('>10k+', 0.0)
SRR10983657	(1.0, 20.274943071221184)	(2.0, 5.1563350224945275)	(3.0, 2.8652915458547654)	(4.0, 2.042209613282665)	(5.0, 1.535535346996725)	(6.0, 1.2475895469650307)	(7.0, 1.0334702941621101)	(8.0, 0.8800893046503129)	(9.0, 0.7683886120240406)	('>10', 8.118527814309868)	('>50', 5.071320453051246)	('>100', 38.55351808288131)	('>500', 3.997192218845945)	('>1k', 4.744180789263712)	('>5k', 1.7789138706384207)	('>10k+', 1.9324944133582038)
SRR10983658	(1.0, 25.75404916927689)	(2.0, 5.597177454717038)	(3.0, 2.9290777243286903)	(4.0, 1.7230033660336943)	(5.0, 1.2265486855961372)	(6.0, 0.923008495183558)	(7.0, 0.7431309035799563)	(8.0, 0.6072572993326284)	(9.0, 0.5565067457577434)	('>10', 40.30740541154942)	('>50', 11.961342269718122)	('>100', 3.9950703510462064)	('>500', 1.099932385074893)	('>1k', 2.0275236204948164)	('>5k', 0.23763952854727932)	('>10k+', 0.3113265897629991)
SRR10983659	(1.0, 26.098378304378922)	(2.0, 5.103571635617789)	(3.0, 3.06742544012119)	(4.0, 2.9577717746839336)	(5.0, 3.267737884476872)	(6.0, 3.8054319340331615)	(7.0, 4.261353563403066)	(8.0, 4.603844474326851)	(9.0, 4.84501785849842)	('>10', 35.21766784629867)	('>50', 1.6192581729472744)	('>100', 2.2907737032456796)	('>500', 0.7376537368014036)	('>1k', 1.167445028781976)	('>5k', 0.3989967720000738)	('>10k+', 0.55767187038471)
SRR10983660	(1.0, 26.654052715962184)	(2.0, 5.056366004910921)	(3.0, 2.906193578397713)	(4.0, 2.4608962610593)	(5.0, 2.718905050176018)	(6.0, 3.0182992068719026)	(7.0, 3.4215249606428064)	(8.0, 3.7687304540654094)	(9.0, 4.022263995473019)	('>10', 37.64373794650871)	('>50', 1.6236249996455672)	('>100', 2.5008978460735816)	('>500', 0.9511591776514718)	('>1k', 1.8200454368568522)	('>5k', 0.31655882256244433)	('>10k+', 1.1167435431420503)
SRR10983661	(1.0, 16.37231928571914)	(2.0, 4.311528936178973)	(3.0, 2.633961885916101)	(4.0, 1.9990986416359495)	(5.0, 1.4857024625213)	(6.0, 1.152850777006275)	(7.0, 0.9936664390739371)	(8.0, 0.8458099995304964)	(9.0, 0.722081191050814)	('>10', 9.35448145027491)	('>50', 7.262176296175222)	('>100', 37.7851129820654)	('>500', 3.5384635416594006)	('>1k', 5.739542453275285)	('>5k', 2.343907573117452)	('>10k+', 3.459296084799378)
SRR10983662	(1.0, 41.98635421862106)	(2.0, 17.748609827887584)	(3.0, 12.792047260399467)	(4.0, 7.9800588378986115)	(5.0, 4.531635819028679)	(6.0, 2.5239624796297915)	(7.0, 1.427180385586813)	(8.0, 0.9328004330087579)	(9.0, 0.7151503204578125)	('>10', 4.17198550230505)	('>50', 0.9195618050902807)	('>100', 1.6654366563885759)	('>500', 0.603711429756599)	('>1k', 1.00564507082877)	('>5k', 0.32587431668935946)	('>10k+', 0.6699856364228023)
SRR10983663	(1.0, 28.05320488499989)	(2.0, 5.572261008301072)	(3.0, 3.7536488453984522)	(4.0, 4.0189864859804665)	(5.0, 4.694721059563607)	(6.0, 5.245081431806282)	(7.0, 5.6818299836328805)	(8.0, 5.591797401992551)	(9.0, 5.379515168017198)	('>10', 26.20010368316702)	('>50', 1.1569167051990212)	('>100', 1.8876339078588655)	('>500', 0.5879554866111355)	('>1k', 1.2167794145583155)	('>5k', 0.10103246451911685)	('>10k+', 0.8585320683942201)
