Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
SRR10983643 - illumina_universal_adapter	(1, 0.005420208471023198)	(2, 0.005420208471023198)	(3, 0.005461064313769604)	(4, 0.005529157385013614)	(5, 0.0055836318420088215)	(6, 0.005651724913252832)	(7, 0.005937715812477674)	(8, 0.006816116431525404)	(9, 0.009063187782577734)	(10, 0.010030109394242676)	(11, 0.012311227280917013)	(12, 0.012937683536361905)	(13, 0.013114725521596331)	(14, 0.013421144342194375)	(15, 0.014994094287931007)	(16, 0.017554393766705784)	(17, 0.08063581496715667)	(18, 0.1276745085825188)	(19, 0.13572310960356077)	(20, 0.13694878488595297)	(21, 0.14552851186269822)	(22, 0.14970261712995603)	(23, 0.15607612859839537)	(24, 0.338068480112261)	(25, 0.3550917479232635)	(26, 0.45157282056890125)	(27, 2.1680221046451593)	(28, 2.368467678466152)	(29, 2.387962724763312)	(30, 2.4053264579305345)	(31, 2.451268853098868)	(32, 2.509992317739702)	(33, 2.542268433509363)	(34, 2.5712760818593114)	(35, 2.5869306789383093)	(36, 2.5960347225636333)	(37, 2.6106202584241003)	(38, 2.6203167117692474)	(39, 2.6423720575451823)	(40, 2.679292120773684)
SRR10983643 - polya	(1, 1.3618614248802005e-05)	(2, 1.3618614248802005e-05)	(3, 0.00018385129235882707)	(4, 0.00020427921373203007)	(5, 0.00023832574935403507)	(6, 0.0003608932775932531)	(7, 0.00037451189184205513)	(8, 0.00045622357733486715)	(9, 0.002594346014396782)	(10, 0.008572917669620862)	(11, 0.018378319928758304)	(12, 0.03128195692949821)	(13, 0.03828192465338243)	(14, 0.04469629196456818)	(15, 0.05178478068106962)	(16, 0.056156355854935065)	(17, 0.06609794425656053)	(18, 0.06689463319011545)	(19, 0.080097879704329)	(20, 0.08130312706534797)	(21, 0.08161635519307041)	(22, 0.08231771382688371)	(23, 0.08245389996937173)	(24, 0.08574279531045742)	(25, 0.08816009933961978)	(26, 0.08848694608159102)	(27, 0.10007638680732153)	(28, 0.1026230676718475)	(29, 0.10566001864933035)	(30, 0.12470565067627995)	(31, 0.12937683536361905)	(32, 0.13137196235106854)	(33, 0.13495365789850347)	(34, 0.14916468186712836)	(35, 0.16099925764933729)	(36, 0.1808007227670954)	(37, 0.1969796364946722)	(38, 0.1997850710299254)	(39, 0.2045243487885085)	(40, 0.2085554586061539)
SRR10983644 - illumina_universal_adapter	(1, 0.048936483296971596)	(2, 0.048936483296971596)	(3, 0.04896631897755748)	(4, 0.04907372742766668)	(5, 0.04908566169990103)	(6, 0.04918113587777587)	(7, 0.05010007483982118)	(8, 0.05144268046618609)	(9, 0.05196182130838052)	(10, 0.052809154637019705)	(11, 0.0548141123723913)	(12, 0.05524971330894525)	(13, 0.05528551612564831)	(14, 0.05540485884799186)	(15, 0.05584045978454581)	(16, 0.056419271987912016)	(17, 0.0862430183015645)	(18, 0.10068348770513373)	(19, 0.10634629988033505)	(20, 0.10662078814172521)	(21, 0.11192557214989589)	(22, 0.11346509326812765)	(23, 0.12098965191188832)	(24, 0.45957092233664937)	(25, 0.4779974386664931)	(26, 0.5112880910642256)	(27, 1.4677782406949373)	(28, 1.561020709661951)	(29, 1.5704487847270912)	(30, 1.583862906718506)	(31, 1.6294040895648036)	(32, 1.698819784015928)	(33, 1.7229508824737931)	(34, 1.7422665020850965)	(35, 1.754869093564575)	(36, 1.7616895301465088)	(37, 1.7683309526449271)	(38, 1.776905727245311)	(39, 1.8123147129646415)	(40, 1.849537708063594)
SRR10983644 - polya	(1, 0.00029238966974169103)	(2, 0.0003162582142104005)	(3, 0.0016648309766924857)	(4, 0.0017483708823329688)	(5, 0.0020347934159574825)	(6, 0.0023092816773476414)	(7, 0.002446525808042721)	(8, 0.0026016713470893324)	(9, 0.002858258200127959)	(10, 0.013056093824384081)	(11, 0.023880478740943827)	(12, 0.035904258017056226)	(13, 0.03647113594818807)	(14, 0.04675251147808468)	(15, 0.057958793106143776)	(16, 0.05809603723683886)	(17, 0.058298919864822885)	(18, 0.05846599967610385)	(19, 0.05879419216254861)	(20, 0.05908061469617312)	(21, 0.077411656848142)	(22, 0.09635731402018013)	(23, 0.09721658162105368)	(24, 0.09753283983526408)	(25, 0.09783716377724012)	(26, 0.09865466142529343)	(27, 0.09907236095349584)	(28, 0.09930507926206576)	(29, 0.09962133747627616)	(30, 0.1286932246391643)	(31, 0.12891997581161704)	(32, 0.13908797575528728)	(33, 0.1502345860221746)	(34, 0.1562494592282894)	(35, 0.15649411180909364)	(36, 0.19424221488635768)	(37, 0.19559078764883978)	(38, 0.19603832285762807)	(39, 0.1965335951553538)	(40, 0.20124166555180673)
SRR10983646 - illumina_universal_adapter	(1, 0.0009680292696308517)	(2, 0.0009680292696308517)	(3, 0.0009829220276251726)	(4, 0.0009978147856194934)	(5, 0.0010052611646166538)	(6, 0.001027600301608135)	(7, 0.0010797249545882576)	(8, 0.001236098913528626)	(9, 0.0013626873564803528)	(10, 0.0014743830414377587)	(11, 0.0020626469822134304)	(12, 0.002211574562156638)	(13, 0.0022413600781452797)	(14, 0.0022785919731310817)	(15, 0.002338163005108365)	(16, 0.002636018164994781)	(17, 0.013090734277007979)	(18, 0.021318983068870218)	(19, 0.023694377968964387)	(20, 0.024252856393751417)	(21, 0.02635273527095065)	(22, 0.026851642663760396)	(23, 0.02907066360491419)	(24, 0.0909500730713171)	(25, 0.0939956420811557)	(26, 0.10701935894718924)	(27, 0.2948319300135688)	(28, 0.3272311250302137)	(29, 0.3302245693870722)	(30, 0.3320563786203736)	(31, 0.33720182650741143)	(32, 0.3442684401757167)	(33, 0.3487660530900015)	(34, 0.35204245984875215)	(35, 0.3538072516710791)	(36, 0.35481995921469295)	(37, 0.3558996841692812)	(38, 0.3569198380918922)	(39, 0.3586622907772277)	(40, 0.3609781146453446)
SRR10983646 - polya	(1, 2.2339136991481192e-05)	(2, 2.978551598864159e-05)	(3, 0.0011318496075683805)	(4, 0.001608417863386646)	(5, 0.002286038352128242)	(6, 0.0031498183157988484)	(7, 0.003723189498580199)	(8, 0.004907163759128703)	(9, 0.02227956595950391)	(10, 0.03376932875212241)	(11, 0.06469414072732954)	(12, 0.0825282184255287)	(13, 0.09969956839298057)	(14, 0.11769002005012008)	(15, 0.13158496325882138)	(16, 0.14460868012485492)	(17, 0.16210767076818186)	(18, 0.17346339873885147)	(19, 0.18863911913506437)	(20, 0.2023925811428196)	(21, 0.2119686245331679)	(22, 0.22221484203326058)	(23, 0.23421840497668314)	(24, 0.2420892275766817)	(25, 0.25471828635586574)	(26, 0.2648379154130067)	(27, 0.2761191795937047)	(28, 0.28754192497534875)	(29, 0.297951962813379)	(30, 0.3146988691779927)	(31, 0.3288842211675833)	(32, 0.33878045885480945)	(33, 0.3541051068309656)	(34, 0.3735699415295428)	(35, 0.39835149083209265)	(36, 0.4585778041611259)	(37, 0.4948193307403056)	(38, 0.5087589522229898)	(39, 0.5217454371940375)	(40, 0.5325501331189173)
SRR10983647 - illumina_universal_adapter	(1, 0.00025019139641825996)	(2, 0.0002555146176186485)	(3, 0.000271484281219814)	(4, 0.0002768075024202025)	(5, 0.00028213072362059103)	(6, 0.00028745394482097955)	(7, 0.00029277716602136807)	(8, 0.0003300397144240876)	(9, 0.00039391836882874976)	(10, 0.0005003827928365199)	(11, 0.0006654026500485637)	(12, 0.0007292813044532259)	(13, 0.0007558974104551684)	(14, 0.0007665438528559454)	(15, 0.000771867074056334)	(16, 0.0009049476040660467)	(17, 0.0038061031582777845)	(18, 0.006281401016458442)	(19, 0.006925510781705451)	(20, 0.0070585913117151644)	(21, 0.007670761749759843)	(22, 0.007995478242983542)	(23, 0.010028948741531953)	(24, 0.23044756898601898)	(25, 0.23111829485726793)	(26, 0.23404074329628122)	(27, 0.27661586645698855)	(28, 0.2838448008471161)	(29, 0.2844037390731569)	(30, 0.2851117274928086)	(31, 0.2877733380930029)	(32, 0.28953532431033147)	(33, 0.2905680292232068)	(34, 0.2918456023113001)	(35, 0.29278248924256844)	(36, 0.29375663872223956)	(37, 0.2947467578655118)	(38, 0.2957581698935856)	(39, 0.29740304524450567)	(40, 0.29918100112543544)
SRR10983647 - polya	(1, 5.32322120038851e-06)	(2, 1.064644240077702e-05)	(3, 0.0009315637100679893)	(4, 0.0015384109269122794)	(5, 0.0021878439133596775)	(6, 0.0034175080106494233)	(7, 0.0041893750847057576)	(8, 0.006499653085674371)	(9, 0.02883056602130417)	(10, 0.046423812088588194)	(11, 0.09564231530738036)	(12, 0.12406831651745501)	(13, 0.14849657860603788)	(14, 0.1705826233664498)	(15, 0.19368008015493554)	(16, 0.21189614310266502)	(17, 0.23499892311235115)	(18, 0.25127733354313925)	(19, 0.2713458774686039)	(20, 0.286884360152538)	(21, 0.3017840562924254)	(22, 0.3148206250121769)	(23, 0.32845339450637184)	(24, 0.34110669129969534)	(25, 0.3573265462972791)	(26, 0.3708688210310675)	(27, 0.3865244145814101)	(28, 0.3991031862779281)	(29, 0.417159552589646)	(30, 0.4386493965756144)	(31, 0.45840919367145655)	(32, 0.4750602295862718)	(33, 0.49787023242993655)	(34, 0.5273342617740869)	(35, 0.5598857594144627)	(36, 0.639563734341878)	(37, 0.6820643324057798)	(38, 0.7045442955350205)	(39, 0.720513959136186)	(40, 0.7345140308932078)
SRR10983648 - illumina_universal_adapter	(1, 0.0004661968346769244)	(2, 0.0004661968346769244)	(3, 0.0004720980604323285)	(4, 0.00047799928618773264)	(5, 0.0004898017376985408)	(6, 0.0005134066407201573)	(7, 0.000554715221007986)	(8, 0.0006019250270512189)	(9, 0.0007789617997133421)	(10, 0.0009264924435984448)	(11, 0.0013690843752537528)	(12, 0.0015579235994266842)	(13, 0.0015815285024483006)	(14, 0.0016287383084915333)	(15, 0.0016818493402901704)	(16, 0.0019533057250387593)	(17, 0.007701099610802359)	(18, 0.012091611572823013)	(19, 0.013389881239011917)	(20, 0.013620029043472677)	(21, 0.014410793294696828)	(22, 0.014635039873402185)	(23, 0.016128049989519423)	(24, 0.10022641822978334)	(25, 0.10138895970359796)	(26, 0.10740230874835474)	(27, 0.19719535984258363)	(28, 0.21348274292749897)	(29, 0.21460397582102575)	(30, 0.21555997439340122)	(31, 0.21806209411369254)	(32, 0.22112483028074728)	(33, 0.2231961605208941)	(34, 0.22481899760363025)	(35, 0.22587531701384758)	(36, 0.22656576042722987)	(37, 0.22729161119514457)	(38, 0.22794074602823902)	(39, 0.2292154107914063)	(40, 0.23067891477874652)
SRR10983648 - polya	(1, 3.540735453242464e-05)	(2, 3.540735453242464e-05)	(3, 0.0008379740572673831)	(4, 0.0015756272766928965)	(5, 0.002047725337125225)	(6, 0.0030922422958317517)	(7, 0.0035171305502208474)	(8, 0.004608857314970607)	(9, 0.021203104139166956)	(10, 0.03370190028911285)	(11, 0.06676056697088666)	(12, 0.08599266170774864)	(13, 0.1059270023095037)	(14, 0.12289302635629051)	(15, 0.13912139718365182)	(16, 0.15407510324784582)	(17, 0.17206203935031752)	(18, 0.184525428145731)	(19, 0.20091903329424363)	(20, 0.2139961495682191)	(21, 0.22556845327456657)	(22, 0.23619065963429395)	(23, 0.24653550838351734)	(24, 0.25760620790065547)	(25, 0.27255991396484947)	(26, 0.2829106639398283)	(27, 0.2964834831772577)	(28, 0.30585462967683946)	(29, 0.3198995469747012)	(30, 0.33711342250321497)	(31, 0.35129406799345103)	(32, 0.36411153033418875)	(33, 0.3811955788960837)	(34, 0.40531978978417565)	(35, 0.4281457310060787)	(36, 0.49069282278760684)	(37, 0.5257165976459303)	(38, 0.5428301523366021)	(39, 0.5561787249953263)	(40, 0.5678690532167817)
