Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
SRR10983648	(1, 0.11774125627182273)	(2, 0.0)	(3, 0.0007317519936701092)	(4, 5.9012257554041066e-05)	(5, 0.0)	(6, 0.0)	(7, 7.671593482025338e-05)	(8, 0.0)	(9, 0.0)	(10, 9.44196120864657e-05)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0006963446391376845)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0020713302401468413)	(24, 0.0)	(25, 0.0014694052130956225)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0006845421876268764)	(39, 0.0014103929555415813)	(40, 3.540735453242464e-05)	(41, 0.0019060959189955264)	(42, 0.000778961799713342)	(43, 0.0026791564929534643)	(44, 0.0005901225755404107)	(45, 0.0009205912178430406)	(46, 2.3604903021616426e-05)	(47, 0.0006432336073390477)	(48, 0.0)	(49, 0.0)	(50, 0.00029506128777020534)	(51, 0.00021244412719454784)
SRR10983649	(1, 0.11576935674920635)	(2, 0.0)	(3, 0.0007356765157480153)	(4, 7.563029601147821e-05)	(5, 0.0)	(6, 0.0)	(7, 0.00011688318474501177)	(8, 0.0)	(9, 0.0)	(10, 8.250577746706714e-05)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0006119178495474145)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0019457612519316668)	(24, 0.0)	(25, 0.0013819717725733745)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0005844159237250588)	(39, 0.0013819717725733745)	(40, 2.0626444366766784e-05)	(41, 0.0017532477711751765)	(42, 0.0006875481455588927)	(43, 0.0024339204352784804)	(44, 0.00046753273898004707)	(45, 0.0008388087375818491)	(46, 6.8754814555889274e-06)	(47, 0.0005500385164471142)	(48, 0.0)	(49, 0.0)	(50, 0.00023376636949002354)	(51, 0.00024064185094561247)
SRR10983650	(1, 0.08172455272490285)	(2, 0.0)	(3, 0.00025999327484062414)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 8.666442494687471e-05)	(8, 0.0)	(9, 0.0)	(10, 0.00025999327484062414)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0005199865496812483)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.001126637524309371)	(24, 0.0)	(25, 0.0015599596490437448)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0006933153995749977)	(39, 0.0006933153995749977)	(40, 0.0)	(41, 0.0010399730993624966)	(42, 0.00034665769978749883)	(43, 0.0015599596490437448)	(44, 0.00034665769978749883)	(45, 0.0009533086744156217)	(46, 0.0)	(47, 0.0005199865496812483)	(48, 0.0)	(49, 0.0)	(50, 8.666442494687471e-05)	(51, 8.666442494687471e-05)
SRR10983651	(1, 0.11448636673317453)	(2, 0.0)	(3, 0.0007333158479766342)	(4, 2.7413676559874178e-05)	(5, 0.0)	(6, 0.0)	(7, 0.00010965470623949671)	(8, 0.0)	(9, 0.0)	(10, 9.594786795955962e-05)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0008018500393763197)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0018572765869314756)	(24, 0.0)	(25, 0.001398097504553583)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0006647816565769488)	(39, 0.0013021496365940234)	(40, 6.8534191399685445e-06)	(41, 0.0016790876892922933)	(42, 0.000692195333136823)	(43, 0.0025152048243684555)	(44, 0.0005277132737775779)	(45, 0.0009457718413156592)	(46, 3.4267095699842726e-05)	(47, 0.0006442213991570431)	(48, 0.0)	(49, 0.0)	(50, 0.00022616283161896197)	(51, 0.00023301625075893053)
SRR10983652	(1, 0.10602718729159433)	(2, 0.0)	(3, 0.0006300877513262517)	(4, 9.285503703755289e-05)	(5, 0.0)	(6, 0.0)	(7, 9.285503703755289e-05)	(8, 0.0)	(9, 0.0)	(10, 0.00011938504761971086)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0006897802751361072)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.001969853285725229)	(24, 0.0)	(25, 0.001372928047626675)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0005504977195797779)	(39, 0.0013397655343989775)	(40, 2.653001058215797e-05)	(41, 0.001611698142866097)	(42, 0.0007295752910093442)	(43, 0.002394333455039757)	(44, 0.00042448016931452754)	(45, 0.0007760028095281207)	(46, 6.632502645539493e-06)	(47, 0.0005902927354530149)	(48, 0.0)	(49, 0.0)	(50, 0.00021887258730280326)	(51, 0.00022550508994834275)
SRR10983653	(1, 0.13799441442461027)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 5.721635891226895e-06)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.00046345250718937854)	(16, 0.0002574736151052103)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0001315976254982186)	(22, 2.288654356490758e-05)	(23, 3.432981534736137e-05)	(24, 0.00026891688688766407)	(25, 0.0)	(26, 2.288654356490758e-05)	(27, 0.00018309234851926064)	(28, 0.0005263905019928744)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0007495343017507233)	(34, 0.0)	(35, 5.721635891226895e-06)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 5.721635891226896e-05)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.007729930089047535)	(50, 0.007672713730135268)	(51, 3.432981534736137e-05)
SRR10983654	(1, 0.13897248379579383)	(2, 0.0)	(3, 5.045594231966373e-05)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.00043728483343708575)	(16, 0.00023546106415843078)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 2.2424863253183882e-05)	(21, 0.00014576161114569525)	(22, 0.0)	(23, 7.848702138614358e-05)	(24, 0.00033076673298446227)	(25, 0.0)	(26, 4.4849726506367764e-05)	(27, 0.0001737926902121751)	(28, 0.0005438029338897092)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.000762445350608252)	(34, 0.0)	(35, 1.681864743988791e-05)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 9.53056688260315e-05)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.008117800497652565)	(50, 0.008213106166478596)	(51, 2.8031079066479854e-05)
SRR10983655	(1, 0.1416096526549631)	(2, 0.0)	(3, 3.276635953884101e-05)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0004259626740049332)	(16, 0.0002228112448641189)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.00020315142914081427)	(22, 2.621308763107281e-05)	(23, 9.174580670875485e-05)	(24, 0.00030800377966510553)	(25, 0.0)	(26, 5.897944716991383e-05)	(27, 0.00019004488532527788)	(28, 0.00047183557735931063)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0007208599098545023)	(34, 0.0)	(35, 6.553271907768202e-06)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 9.174580670875485e-05)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.007955672096030597)	(50, 0.007706647763535406)	(51, 4.5872903354377424e-05)
SRR10983656	(1, 0.14381516827803748)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.00025982866897567746)	(16, 0.00038974300346351616)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.00025982866897567746)	(22, 0.0)	(23, 0.00012991433448783873)	(24, 0.00025982866897567746)	(25, 0.0)	(26, 0.0)	(27, 0.00012991433448783873)	(28, 0.0006495716724391936)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0009094003414148711)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 0.0)	(38, 0.0)	(39, 0.0)	(40, 0.00012991433448783873)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.008574346076197356)	(50, 0.008054688738246)	(51, 0.0)
SRR10983657	(1, 0.9384920241731363)	(2, 0.0)	(3, 0.00020535481152997447)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(11, 0.0)	(12, 0.0)	(13, 0.0)	(14, 0.0)	(15, 0.0)	(16, 0.0)	(17, 0.0)	(18, 0.0)	(19, 0.0)	(20, 0.0)	(21, 0.0)	(22, 0.0)	(23, 0.0006571353968959182)	(24, 0.0)	(25, 1.0267740576498723e-05)	(26, 0.0)	(27, 0.0)	(28, 0.0)	(29, 0.0)	(30, 0.0)	(31, 0.0)	(32, 0.0)	(33, 0.0)	(34, 0.0)	(35, 0.0)	(36, 0.0)	(37, 2.0535481152997445e-05)	(38, 0.0)	(39, 0.0)	(40, 0.0)	(41, 0.0)	(42, 0.0)	(43, 0.0)	(44, 0.0)	(45, 0.0)	(46, 0.0)	(47, 0.0)	(48, 0.0)	(49, 0.0)	(50, 0.0)	(51, 0.0)
