Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
SRR10983648	(1, 30.967514283326818)	(2, 32.10858987141937)	(3, 29.09019716703396)	(4, 28.692193362867787)	(5, 28.64221853749686)	(6, 31.72180895938257)	(7, 32.138249373053775)	(8, 34.12878699360402)	(9, 34.52191007098467)	(10, 34.6687515107138)	(11, 35.007848217168885)	(12, 35.17210022028095)	(13, 35.29285470143574)	(14, 35.33181370868906)	(15, 35.34407450840429)	(16, 35.370515068425895)	(17, 35.39256281500743)	(18, 35.34406081756054)	(19, 35.353472151407516)	(20, 35.3350149466246)	(21, 35.33287769969276)	(22, 35.25692131163948)	(23, 35.291847893309615)	(24, 35.32322447460207)	(25, 35.334593717130176)	(26, 35.27331403160413)	(27, 35.23671191490527)	(28, 35.23953565142923)	(29, 35.24081043421691)	(30, 35.18735205627031)	(31, 35.14005503011042)	(32, 35.118166970697814)	(33, 35.12829908025856)	(34, 35.03195130166877)	(35, 35.09100829051404)	(36, 35.10702887918255)	(37, 35.091031305294486)	(38, 35.106608121786195)	(39, 35.10682428368561)	(40, 35.09263218981741)	(41, 35.08879273431643)	(42, 35.089994873015065)	(43, 35.071180112963624)	(44, 35.06696362814913)	(45, 35.07562851595031)	(46, 35.04289990482503)	(47, 35.04658834795893)	(48, 35.032765316749476)	(49, 35.01402384992191)	(50, 35.02585875817438)	(51, 34.662104960145484)
SRR10983649	(1, 30.921243972609183)	(2, 32.08134595250032)	(3, 29.070289490771593)	(4, 28.65942027590482)	(5, 28.58164503594364)	(6, 31.63349366039357)	(7, 32.04807522271747)	(8, 34.07585093021139)	(9, 34.4893083513173)	(10, 34.64217333693792)	(11, 34.988893003482566)	(12, 35.158147349268134)	(13, 35.28435059290027)	(14, 35.32073007162327)	(15, 35.32949129137768)	(16, 35.36020186688573)	(17, 35.37774933314705)	(18, 35.33300321855038)	(19, 35.34159763912468)	(20, 35.318506953449415)	(21, 35.31737799939441)	(22, 35.249415446566644)	(23, 35.28065474659863)	(24, 35.313219364435994)	(25, 35.322762945225236)	(26, 35.26310941173656)	(27, 35.22589978738261)	(28, 35.22795816902079)	(29, 35.22835096527634)	(30, 35.17534505978781)	(31, 35.12884054080887)	(32, 35.10704883984501)	(33, 35.1194418264139)	(34, 35.02212660566556)	(35, 35.08600615383092)	(36, 35.09674799352825)	(37, 35.080732522044855)	(38, 35.095224386837685)	(39, 35.09672929221869)	(40, 35.08588789554989)	(41, 35.08229415014787)	(42, 35.083248673238344)	(43, 35.06593937365464)	(44, 35.06018163921929)	(45, 35.067728236419754)	(46, 35.03586670531604)	(47, 35.041064294277206)	(48, 35.02529867778991)	(49, 35.00947757616727)	(50, 35.02074972174927)	(51, 34.65803362880486)
SRR10983650	(1, 28.51580325788906)	(2, 29.629539915900843)	(3, 27.116591384169528)	(4, 26.958522406220425)	(5, 26.567369457376703)	(6, 29.930414533277407)	(7, 30.64833656302757)	(8, 33.619641971927656)	(9, 34.45953724663655)	(10, 34.7687611147125)	(11, 35.14361768508921)	(12, 35.30892054258863)	(13, 35.447474425328195)	(14, 35.49362929812216)	(15, 35.48381801857392)	(16, 35.51969535721343)	(17, 35.5358877383705)	(18, 35.520395605767)	(19, 35.50785266354443)	(20, 35.48366462254177)	(21, 35.49560871358794)	(22, 35.40288731198153)	(23, 35.42403343166857)	(24, 35.498072583189185)	(25, 35.5308265359536)	(26, 35.49487639919714)	(27, 35.47898387695038)	(28, 35.49632282844951)	(29, 35.49925121936846)	(30, 35.45189084442349)	(31, 35.412831188099936)	(32, 35.39720905885901)	(33, 35.412553861940104)	(34, 35.34210608418929)	(35, 35.39487518589519)	(36, 35.42582305204372)	(37, 35.41421088574509)	(38, 35.43484221874794)	(39, 35.4326253427578)	(40, 35.42427349212567)	(41, 35.41369523241666)	(42, 35.44141658202441)	(43, 35.42236340819984)	(44, 35.42902183596851)	(45, 35.41689921620694)	(46, 35.40934207835157)	(47, 35.42671569562067)	(48, 35.41127036180664)	(49, 35.407956314196674)	(50, 35.42369977363252)	(51, 35.001465495425855)
SRR10983651	(1, 30.9620215036991)	(2, 32.13271927154734)	(3, 29.08044241836053)	(4, 28.671913050397233)	(5, 28.633468315992243)	(6, 31.740017943621993)	(7, 32.15858633700989)	(8, 34.15687120033593)	(9, 34.555022915434904)	(10, 34.69197773707913)	(11, 35.03257279342006)	(12, 35.19451970450524)	(13, 35.309286992888964)	(14, 35.34815348670783)	(15, 35.35936437827118)	(16, 35.382073251125654)	(17, 35.40609811752339)	(18, 35.36094135001529)	(19, 35.37532763626876)	(20, 35.35589805593857)	(21, 35.35408429856317)	(22, 35.27284845986881)	(23, 35.30940130792022)	(24, 35.34267582292602)	(25, 35.352137653390656)	(26, 35.293406866865546)	(27, 35.25881731779517)	(28, 35.260590571463446)	(29, 35.26070166538771)	(30, 35.209597843420894)	(31, 35.16385462883698)	(32, 35.13996107394997)	(33, 35.152198402097916)	(34, 35.05792400202395)	(35, 35.11921604835005)	(36, 35.13076179797258)	(37, 35.11501017355804)	(38, 35.131559056221136)	(39, 35.13146653506274)	(40, 35.1202874433642)	(41, 35.11738659664483)	(42, 35.118750084382725)	(43, 35.107630411828126)	(44, 35.09566550709099)	(45, 35.10653818241979)	(46, 35.07222743044002)	(47, 35.07946196821837)	(48, 35.0611971950052)	(49, 35.04454852655943)	(50, 35.058902396140375)	(51, 34.69322019343501)
SRR10983652	(1, 30.55586321524494)	(2, 31.75581532857584)	(3, 28.682286343046965)	(4, 28.27345145157295)	(5, 28.190704613867304)	(6, 31.24569091277496)	(7, 31.67702305424757)	(8, 33.83432917044305)	(9, 34.345754816937955)	(10, 34.53479958069318)	(11, 34.91430275981752)	(12, 35.022059372173935)	(13, 35.214999073107755)	(14, 35.216900876916334)	(15, 35.271200645475155)	(16, 35.26039941594182)	(17, 35.264659472391045)	(18, 35.21242373865552)	(19, 35.26682180090354)	(20, 35.27156039241865)	(21, 35.22465201745808)	(22, 35.1626366585717)	(23, 35.20890247667597)	(24, 35.24023873030022)	(25, 35.27192736879003)	(26, 35.22560318466247)	(27, 35.176172269970714)	(28, 35.17693600265035)	(29, 35.155911897814356)	(30, 35.15046774066782)	(31, 35.097815220466046)	(32, 35.049161568759324)	(33, 35.13139219878406)	(34, 35.01315291599637)	(35, 35.022805462396526)	(36, 35.09607485177186)	(37, 35.06554597269465)	(38, 35.05434825215316)	(39, 35.03697175847211)	(40, 35.03759939219746)	(41, 34.97856288922427)	(42, 35.046247512396974)	(43, 35.05591438500285)	(44, 34.92803111174341)	(45, 35.01412099608251)	(46, 35.01422114687246)	(47, 34.91890332895257)	(48, 34.983446135622074)	(49, 34.8590142177643)	(50, 34.952945776306244)	(51, 34.52467884593128)
SRR10983653	(1, 30.819155338924247)	(2, 31.82427711850864)	(3, 29.044192771296657)	(4, 28.90144402074459)	(5, 29.207404494882827)	(6, 31.97743918916638)	(7, 32.58758946278359)	(8, 34.061811233047436)	(9, 34.65132419538494)	(10, 34.90465849300464)	(11, 35.13649294273404)	(12, 35.25935872248229)	(13, 35.36214115973783)	(14, 35.17778862091353)	(15, 35.36094671102918)	(16, 35.31310960096796)	(17, 35.22515930321689)	(18, 35.28608648630278)	(19, 35.34059645422214)	(20, 35.391554258931144)	(21, 35.258743017244036)	(22, 35.34902516770258)	(23, 35.35323474687683)	(24, 35.36693016897879)	(25, 35.38963041607908)	(26, 35.34419725133756)	(27, 35.185879986741824)	(28, 35.25663488049992)	(29, 35.24403292023313)	(30, 35.28675214142236)	(31, 35.175267038759905)	(32, 35.199393346389726)	(33, 35.235017853506555)	(34, 35.17728008191552)	(35, 35.16768083616444)	(36, 35.22789355857659)	(37, 35.174647671674684)	(38, 35.19238508623564)	(39, 35.17064578788328)	(40, 35.17063857862206)	(41, 35.0993635309451)	(42, 35.17397068771603)	(43, 35.18961461292075)	(44, 35.04545954148298)	(45, 35.09489630650666)	(46, 35.166804739276785)	(47, 35.01081011555473)	(48, 35.115824620187794)	(49, 34.97202795202225)	(50, 35.077027580402)	(51, 34.396750190916684)
SRR10983654	(1, 30.773439980750496)	(2, 31.76330097126568)	(3, 29.071133404166)	(4, 28.965464645409092)	(5, 29.207482683520595)	(6, 31.998491367324643)	(7, 32.62071264645678)	(8, 34.1583644964183)	(9, 34.721457746175666)	(10, 34.974623576245435)	(11, 35.213437437771006)	(12, 35.338032893237916)	(13, 35.427579632931895)	(14, 35.273735596510335)	(15, 35.418664348234806)	(16, 35.396671051474925)	(17, 35.31292102680758)	(18, 35.39248853416742)	(19, 35.43024572492407)	(20, 35.4816058377301)	(21, 35.37129518834194)	(22, 35.44911663978673)	(23, 35.455975900896455)	(24, 35.4471081008473)	(25, 35.4548181052067)	(26, 35.41515295102231)	(27, 35.29733798933294)	(28, 35.347286513059345)	(29, 35.35503811554007)	(30, 35.375720286607695)	(31, 35.27395737840791)	(32, 35.303486886836964)	(33, 35.33189072319287)	(34, 35.28813970286159)	(35, 35.259080387752796)	(36, 35.31901195604009)	(37, 35.28841418318781)	(38, 35.29099489251315)	(39, 35.290314802472835)	(40, 35.28353223439544)	(41, 35.23167473812245)	(42, 35.27996987668119)	(43, 35.296914720039034)	(44, 35.182371826209106)	(45, 35.22042059625021)	(46, 35.288617857008305)	(47, 35.18419558427533)	(48, 35.24872548289701)	(49, 35.14109897751594)	(50, 35.20427957211567)	(51, 34.58334357402089)
SRR10983655	(1, 30.786221719600828)	(2, 31.81517748259074)	(3, 29.0327720608854)	(4, 28.907737009072285)	(5, 29.205335438069515)	(6, 31.960527153056187)	(7, 32.51027202435091)	(8, 34.000254070351865)	(9, 34.60681489162887)	(10, 34.89467994245965)	(11, 35.13565122123826)	(12, 35.29995963839832)	(13, 35.39888003272442)	(14, 35.17788483057138)	(15, 35.384872938283316)	(16, 35.36999511060383)	(17, 35.25652900841853)	(18, 35.28245486614188)	(19, 35.332325986219914)	(20, 35.38150888168218)	(21, 35.268410549116346)	(22, 35.36138823987832)	(23, 35.36259712194715)	(24, 35.37299696786662)	(25, 35.39514630605497)	(26, 35.36155410319031)	(27, 35.169123826890605)	(28, 35.262487636433384)	(29, 35.26169639438324)	(30, 35.318808159059444)	(31, 35.21238793823122)	(32, 35.22778734082184)	(33, 35.25032037308039)	(34, 35.19758960173997)	(35, 35.21203792797863)	(36, 35.27379917354067)	(37, 35.2167119181014)	(38, 35.21901159227927)	(39, 35.206294247282344)	(40, 35.184109914622006)	(41, 35.111114657159355)	(42, 35.18606036493992)	(43, 35.18617714424531)	(44, 35.030671671706244)	(45, 35.11069970398216)	(46, 35.198473113858576)	(47, 35.0254993707876)	(48, 35.117994806269884)	(49, 34.97233510051048)	(50, 35.079325980256435)	(51, 34.43357678956913)
SRR10983656	(1, 30.897111744515666)	(2, 31.890397771709335)	(3, 29.20497364038153)	(4, 29.11457534901486)	(5, 29.420996494911254)	(6, 32.18449134640618)	(7, 32.74548482730488)	(8, 34.183707962969216)	(9, 34.683149331330924)	(10, 34.94498907420447)	(11, 35.13989045623316)	(12, 35.30900514200936)	(13, 35.36913079515367)	(14, 35.214215746137)	(15, 35.36408362325882)	(16, 35.36874624872359)	(17, 35.28528538281857)	(18, 35.31466421041965)	(19, 35.357643769698264)	(20, 35.39732350488088)	(21, 35.305214241729004)	(22, 35.38439183202596)	(23, 35.38184681021335)	(24, 35.36161135347352)	(25, 35.38220797206322)	(26, 35.30266012591297)	(27, 35.20800584094848)	(28, 35.286259740327225)	(29, 35.28824613050155)	(30, 35.298514559499466)	(31, 35.21063400793517)	(32, 35.24873008738038)	(33, 35.228317947145655)	(34, 35.19587703868069)	(35, 35.187824948229135)	(36, 35.23049271310498)	(37, 35.1968643876228)	(38, 35.224414021394296)	(39, 35.223136963486276)	(40, 35.206902868248676)	(41, 35.19092210596333)	(42, 35.19517030470108)	(43, 35.2014815430705)	(44, 35.14977303965765)	(45, 35.14505974760243)	(46, 35.200795595384406)	(47, 35.12349786550748)	(48, 35.14155465885795)	(49, 35.09463090038429)	(50, 35.124821692575914)	(51, 34.54965325864125)
SRR10983657	(1, 30.76876699118545)	(2, 31.994281689918136)	(3, 29.406728820038442)	(4, 28.878763550465585)	(5, 28.95105635028438)	(6, 31.660132447692792)	(7, 31.881758034327316)	(8, 33.848109005619634)	(9, 34.27898375242999)	(10, 34.74223781914833)	(11, 35.0760669132225)	(12, 35.14269202292047)	(13, 35.32178041389468)	(14, 35.29279109121543)	(15, 35.3631493460322)	(16, 35.405659332179994)	(17, 35.409319473663295)	(18, 35.39340149812496)	(19, 35.38017480006912)	(20, 35.31966556736813)	(21, 35.35076963389652)	(22, 35.34194676977395)	(23, 35.37417505121806)	(24, 35.365982215657255)	(25, 35.36612842828307)	(26, 35.28898555852555)	(27, 35.273112863723156)	(28, 35.25866338044207)	(29, 35.23808477477865)	(30, 35.22017639772955)	(31, 35.208653528544986)	(32, 35.19458939356773)	(33, 35.200943482146094)	(34, 35.18580123440831)	(35, 35.178500870858414)	(36, 35.181582938547265)	(37, 35.16304874271003)	(38, 35.149350960716546)	(39, 35.13661701153098)	(40, 35.1243459320906)	(41, 35.09360062041796)	(42, 35.116192011266584)	(43, 35.104757033941354)	(44, 35.04456486906937)	(45, 35.07529293093784)	(46, 35.07920196245272)	(47, 35.016651092215504)	(48, 35.026519212328765)	(49, 34.97762032996206)	(50, 35.01220885693249)	(51, 33.88457026579381)
