Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
SRR10983647	('1', 1.1566870422765725)	('10', 0.848579952955307)	('11', 1.3175750734387397)	('12', 0.9466321998202686)	('13', 0.45650364218828626)	('14', 1.272814193652743)	('15', 0.8803941781481401)	('16', 1.2386144791504499)	('17', 1.5934207750763807)	('18', 0.5422210954218576)	('19', 1.2787769765171086)	('2', 0.7965115979446216)	('20', 0.8008187224249859)	('21', 3.2319777222074437)	('22', 0.9504937956288484)	('3', 0.9711992927311888)	('4', 0.5304767640273832)	('5', 0.8193612820550689)	('6', 0.7816570219322326)	('7', 0.8635607467631138)	('8', 0.6807817303996544)	('9', 0.8800706001343225)	('MT', 10169.7177879441)	('X', 0.4532641773981134)	('Y', 0.04840587382053403)	('KI270733.1', 334.64404259834765)	('GL000220.1', 382.42616985263834)	('KI270713.1', 98.09702429423885)
SRR10983648	('1', 1.1509303019284332)	('10', 0.8504646080520709)	('11', 1.2501795131516145)	('12', 0.9866011110494879)	('13', 0.46534271500094737)	('14', 1.1197753600436826)	('15', 0.8504758744820281)	('16', 1.3100089336451153)	('17', 1.5330771684337028)	('18', 0.5546281345295364)	('19', 1.3041727198278275)	('2', 0.7748433885840222)	('20', 0.7661532320287219)	('21', 3.9133123846760367)	('22', 0.9757233210944386)	('3', 0.9219094163323618)	('4', 0.5650841462748338)	('5', 0.8269338930022189)	('6', 0.8257389055793318)	('7', 0.8520054729770052)	('8', 0.6713560837712349)	('9', 0.8548111455062912)	('MT', 7363.477591169454)	('X', 0.44828983089962965)	('Y', 0.13869590815910499)	('KI270733.1', 435.1206171038961)	('GL000220.1', 492.70872527687237)	('KI270713.1', 73.46805919755816)
SRR10983649	('1', 1.2107136871380022)	('10', 0.891982479782923)	('11', 1.2406925818558445)	('12', 1.0628515406581893)	('13', 0.4893408874394937)	('14', 1.1497968691061569)	('15', 0.916039787507245)	('16', 1.5160953099289312)	('17', 1.6650658521030361)	('18', 0.5937499918839385)	('19', 1.4333231732367386)	('2', 0.8298363900157398)	('20', 0.8191261593845819)	('21', 2.508694471184236)	('22', 1.0380013897197038)	('3', 0.9702827046473231)	('4', 0.5763714674950821)	('5', 0.8538244315343161)	('6', 0.8897139836528205)	('7', 0.9043269626434867)	('8', 0.7125083019131048)	('9', 0.8753731067270539)	('MT', 6661.4230824452325)	('X', 0.4982500159327405)	('Y', 0.054880881116170156)	('KI270733.1', 236.17550801331245)	('GL000220.1', 274.3706483506169)	('KI270713.1', 40.21154688571645)
SRR10983650	('1', 1.0663452993011528)	('10', 1.0688764225323406)	('11', 0.7835938680184068)	('12', 0.9821340547195284)	('13', 0.8592949044571494)	('14', 0.9132092353808058)	('15', 0.862543113162555)	('16', 1.1353284133744779)	('17', 0.8069493063827641)	('18', 0.925451190573594)	('19', 1.241925344898802)	('2', 0.9414655540243265)	('20', 1.2464992103160302)	('21', 1.6353002306015094)	('22', 1.1052363687671367)	('3', 0.9255695217522839)	('4', 0.988555021349182)	('5', 1.0195210531559515)	('6', 0.8335181125766017)	('7', 1.0333853489062592)	('8', 0.9679727433755857)	('9', 1.0136226622194855)	('MT', 102.2477771031795)	('X', 0.6357316463661259)	('Y', 1.5687801936753643)	('KI270733.1', 31.986042407670165)	('GL000220.1', 46.085365106059456)	('KI270713.1', 0.6069952316293634)
SRR10983651	('1', 1.1517741163882542)	('10', 0.908658212604224)	('11', 1.2082451282035935)	('12', 0.9786690821075656)	('13', 0.4730749902616853)	('14', 1.0466048654041649)	('15', 0.8934254089138576)	('16', 1.2019621886064484)	('17', 1.5369981667750587)	('18', 0.5831229738735829)	('19', 1.2345152591315902)	('2', 0.7854318039003471)	('20', 0.7570222931522779)	('21', 3.5981099050578518)	('22', 0.9248694600459285)	('3', 0.9656581256228385)	('4', 0.5685953877639188)	('5', 0.8308656345502677)	('6', 0.841938492021034)	('7', 0.8636524776051239)	('8', 0.67488809848399)	('9', 0.8284548349625028)	('MT', 9152.05827062624)	('X', 0.4850370514602329)	('Y', 0.05398736613569583)	('KI270733.1', 404.51492700727226)	('GL000220.1', 455.71679902997766)	('KI270713.1', 38.9750873436092)
SRR10983652	('1', 1.216804538795021)	('10', 0.7178548898744237)	('11', 0.8361904290080276)	('12', 0.777964894562892)	('13', 0.4369297707690358)	('14', 1.2503255511955138)	('15', 0.7884930005649529)	('16', 1.540251549449596)	('17', 1.222004194249278)	('18', 0.4714221168727776)	('19', 1.0827939369136812)	('2', 0.6611219990834639)	('20', 0.6488318864767307)	('21', 7.655776667807818)	('22', 1.0326318410075086)	('3', 0.8325093802499168)	('4', 0.43545324445324285)	('5', 0.667606136419365)	('6', 0.7084671263994052)	('7', 0.6976118807428591)	('8', 0.6843292950608655)	('9', 0.6871040603290339)	('MT', 2225.134088666952)	('X', 0.3918510442597571)	('Y', 0.5197887715968156)	('KI270733.1', 907.0615199815272)	('GL000220.1', 1031.781626963353)	('KI270713.1', 189.7092298864149)
SRR10983653	('1', 1.0411978703989215)	('10', 0.7289414028875869)	('11', 0.7717137832921142)	('12', 0.9231307310090561)	('13', 0.6438864395454202)	('14', 0.8885566696147541)	('15', 1.0727519478022463)	('16', 0.8333877600971649)	('17', 0.4788811922500283)	('18', 0.941812351980665)	('19', 2.1438470327589605)	('2', 0.570181255397766)	('20', 1.5161815909705905)	('21', 5.630146942776395)	('22', 1.4293956604094773)	('3', 0.6067197272261952)	('4', 0.555897887605244)	('5', 1.0710176614550588)	('6', 0.7075019600624267)	('7', 1.2577888490555302)	('8', 0.9219706530289354)	('9', 0.7790365214295734)	('MT', 71.95838486207587)	('X', 0.8979800395349619)	('Y', 0.21522393411136423)	('KI270733.1', 548.395737064688)	('GL000220.1', 611.2491695381649)	('KI270713.1', 8.894603974088518)
SRR10983654	('1', 1.1220583667575794)	('10', 0.9073523800485586)	('11', 0.9645778883841711)	('12', 0.9691029384501614)	('13', 0.7447223393332748)	('14', 0.9045429657818346)	('15', 0.9234435333510579)	('16', 1.0405712274673666)	('17', 0.997098041164138)	('18', 0.9689539515550961)	('19', 1.1655621994556513)	('2', 0.8358729661819996)	('20', 0.9717676584751117)	('21', 3.0209730200817515)	('22', 1.054034039335661)	('3', 0.8612615864682998)	('4', 0.883754518511944)	('5', 1.0139363518098161)	('6', 0.8759727733267363)	('7', 0.9457150139887418)	('8', 0.8723859210501874)	('9', 0.8541649450716147)	('MT', 60.55227744059385)	('X', 1.0082025870637055)	('Y', 0.31868005071468936)	('KI270733.1', 240.35703170747692)	('GL000220.1', 271.9420611399876)	('KI270713.1', 2.938951966541581)
SRR10983655	('1', 0.6747434343159803)	('10', 0.43453538815037573)	('11', 0.6615955750478582)	('12', 0.7413815900241064)	('13', 0.3134018478595836)	('14', 0.4758628423701038)	('15', 0.5556944734978069)	('16', 0.7179093484903804)	('17', 0.837099052744206)	('18', 0.25846927563493494)	('19', 1.1901606467744947)	('2', 0.4318393441977064)	('20', 0.45241713501215725)	('21', 15.533822435189483)	('22', 0.8667602250965758)	('3', 0.4855342710803532)	('4', 0.28906975732746004)	('5', 0.4830710371982006)	('6', 0.4501308710487846)	('7', 0.7469798575741616)	('8', 0.4515966363180603)	('9', 0.4899194684795762)	('MT', 785.9169489442247)	('X', 0.4057535215535407)	('Y', 0.05425300450299943)	('KI270733.1', 2102.5982899113974)	('GL000220.1', 2341.8837153091868)	('KI270713.1', 5.467980107730235)
SRR10983656	('1', 1.0042341186527146)	('10', 0.9760946334690708)	('11', 1.2208743692758757)	('12', 0.9740830149285287)	('13', 0.5375637980276459)	('14', 1.0583940641188678)	('15', 1.0346443369097067)	('16', 1.3293591096489408)	('17', 1.3386767833834858)	('18', 0.5432787322999411)	('19', 1.6096220005330906)	('2', 0.8214176435485543)	('20', 0.9215994697820316)	('21', 4.330173916993476)	('22', 1.2215318447748407)	('3', 0.9123735478350867)	('4', 0.557203697210627)	('5', 0.7747657218684361)	('6', 0.7947696725729613)	('7', 0.8797115626170301)	('8', 0.7359744744552665)	('9', 0.9568005653442757)	('MT', 1782.3245275026622)	('X', 0.5031592382983431)	('Y', 0.07749015191064282)	('KI270733.1', 513.0298436280609)	('GL000220.1', 589.0496498571051)	('KI270713.1', 19.821904583405868)
SRR10983657	('1', 0.8621073854823882)	('10', 0.4596675546640971)	('11', 0.7946484683417743)	('12', 0.6563068073726143)	('13', 0.2552535114805409)	('14', 0.6738278151736515)	('15', 0.5046828927812601)	('16', 0.9429844853546887)	('17', 0.8739117318713749)	('18', 0.30105942575950867)	('19', 0.7637243649266406)	('2', 0.435650690170367)	('20', 0.516272409173682)	('21', 15.288093285182185)	('22', 0.694243766272297)	('3', 0.490720351210722)	('4', 0.30613288438438624)	('5', 0.46517221114453733)	('6', 0.4400272722480766)	('7', 0.43552691329526877)	('8', 0.4424060822117555)	('9', 0.5011267763591682)	('MT', 3244.6187485732066)	('X', 0.2875438565352447)	('Y', 0.02988058650223064)	('KI270733.1', 2027.2779448398694)	('GL000220.1', 2256.590203950781)	('KI270713.1', 167.63080690925145)
SRR10983658	('1', 1.2782249327107016)	('10', 1.0097285760937298)	('11', 1.3509531560754462)	('12', 1.0906187612172198)	('13', 0.5309873041681827)	('14', 1.1425393931179064)	('15', 0.9918594801691492)	('16', 1.502515383221044)	('17', 1.7836908884088496)	('18', 0.6519179019654456)	('19', 1.4724969137820918)	('2', 0.8279062027013563)	('20', 0.8975980484951396)	('21', 2.2082275017028223)	('22', 1.1233842754761556)	('3', 0.9199171988527451)	('4', 0.5778094684729304)	('5', 0.8407941966737986)	('6', 0.8712814769178413)	('7', 0.9078547171819734)	('8', 0.6991213688345482)	('9', 0.931121852558127)	('MT', 3914.7420556612124)	('X', 0.4592724096246781)	('Y', 0.05142779572950123)	('KI270733.1', 204.75825808351976)	('GL000220.1', 236.22779070462303)	('KI270713.1', 59.82142556576005)
SRR10983659	('1', 1.104801987984304)	('10', 0.8889785271419364)	('11', 1.5846506438537382)	('12', 1.0383752113135571)	('13', 0.4054685506608991)	('14', 1.0184822471987793)	('15', 0.905190670642306)	('16', 1.3407991265524593)	('17', 1.6872815076336285)	('18', 0.5817441034425137)	('19', 1.4755935925515835)	('2', 0.7560612741632821)	('20', 0.8898046990050104)	('21', 4.077608392267754)	('22', 1.0198440828675173)	('3', 0.8264712313228705)	('4', 0.5340732019979865)	('5', 0.7032968584436958)	('6', 0.8964948435895681)	('7', 0.836473436837063)	('8', 0.7841370365672766)	('9', 0.8112828314216245)	('MT', 4054.3276248356938)	('X', 0.4339074378928258)	('Y', 0.04113188864715966)	('KI270733.1', 488.5889535887339)	('GL000220.1', 563.0858812154594)	('KI270713.1', 18.99500123041565)
SRR10983660	('1', 1.1259967775371567)	('10', 0.8496478542392286)	('11', 1.2094373375641438)	('12', 0.9452235038516859)	('13', 0.45148686885873873)	('14', 1.3047577368033607)	('15', 0.7730108646938918)	('16', 1.28400740068028)	('17', 1.4993116101385608)	('18', 0.514534906795119)	('19', 1.2334264589758832)	('2', 0.7441000329968568)	('20', 0.766165245953973)	('21', 4.515969669683911)	('22', 0.913720370713483)	('3', 0.9398157999606636)	('4', 0.5227598403106458)	('5', 0.7352234500171033)	('6', 0.8169226274131387)	('7', 0.7892199004682631)	('8', 0.6745477209694278)	('9', 0.8675568258809108)	('MT', 7890.596894322133)	('X', 0.4334433923054248)	('Y', 0.04667916658533546)	('KI270733.1', 530.8511171063229)	('GL000220.1', 603.0328213187227)	('KI270713.1', 54.599246971307906)
SRR10983661	('1', 1.4347147828326876)	('10', 0.9054374634117687)	('11', 1.3466582056298961)	('12', 1.0031897737307602)	('13', 0.45880658120813395)	('14', 1.348738734559601)	('15', 0.8260665503475461)	('16', 1.2907924477402881)	('17', 1.5899980099072788)	('18', 0.5725691030195362)	('19', 1.318275820517277)	('2', 0.735065168105473)	('20', 0.7318746674552934)	('21', 3.229587288632491)	('22', 1.0747447582125798)	('3', 0.9569677185234117)	('4', 0.5394215586333215)	('5', 0.7262045917715979)	('6', 0.8608019775913617)	('7', 0.7885468180452877)	('8', 0.6803446901973642)	('9', 0.8687259404848611)	('MT', 5703.143227021108)	('X', 0.4241166571646374)	('Y', 0.050267628244652335)	('KI270733.1', 345.32021314271805)	('GL000220.1', 385.3961161453145)	('KI270713.1', 170.49307903587885)
SRR10983662	('1', 1.2346831101429936)	('10', 0.9743377897737868)	('11', 1.302011822649207)	('12', 1.0516672875921123)	('13', 0.4943695011332317)	('14', 1.145664422383169)	('15', 0.909985335446385)	('16', 1.3752254820039518)	('17', 1.6988027002867836)	('18', 0.6442487242865705)	('19', 1.3152345320158199)	('2', 0.8238686122877971)	('20', 0.8379274988168688)	('21', 2.4478109783117263)	('22', 0.9671734061706962)	('3', 0.9426653724854099)	('4', 0.5767244995037952)	('5', 0.8246450135607912)	('6', 0.9124146599080981)	('7', 0.9254381608640069)	('8', 0.7039558882729819)	('9', 0.9607639915062556)	('MT', 5909.522553038148)	('X', 0.4795891126234261)	('Y', 0.05047652702498085)	('KI270733.1', 254.2081441105329)	('GL000220.1', 293.9605177520794)	('KI270713.1', 39.045540839027765)
SRR10983663	('1', 1.1879993384308498)	('10', 0.9457413148373895)	('11', 1.2486973337172096)	('12', 1.0099101814539935)	('13', 0.48297655520457994)	('14', 1.175929168602324)	('15', 0.8978054344896855)	('16', 1.4271189568093372)	('17', 1.6128273183642823)	('18', 0.6027678646245193)	('19', 1.3540380873353726)	('2', 0.8104018876159167)	('20', 0.8051391567560835)	('21', 3.0076326683152157)	('22', 1.0150847057240044)	('3', 0.9690872761103545)	('4', 0.5696646580990993)	('5', 0.8288820115635198)	('6', 0.8755484750404281)	('7', 0.8824798031512465)	('8', 0.704296066812181)	('9', 0.9100430258041797)	('MT', 6075.954943724261)	('X', 0.4728207785013953)	('Y', 0.05124163970264706)	('KI270733.1', 320.39471375126135)	('GL000220.1', 365.3011826252007)	('KI270713.1', 36.514381801370746)
