Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
SRR10983647	('1', 0.09289929856189752)	('10', 0.03662804541248964)	('11', 0.0574197030969899)	('12', 0.04070091772469945)	('13', 0.016842558327432512)	('14', 0.04395410341244144)	('15', 0.028967635525201815)	('16', 0.03609786473787298)	('17', 0.042798324200306236)	('18', 0.014059224305453697)	('19', 0.024182221274711188)	('2', 0.06223402213456218)	('20', 0.016649111551131652)	('21', 0.04870250487693844)	('22', 0.015582749366545407)	('3', 0.06212903041983768)	('4', 0.03255242462607238)	('5', 0.04798625249847757)	('6', 0.04307175157604382)	('7', 0.04439225600901207)	('8', 0.0318760251236195)	('9', 0.0392925537328998)	('MT', 0.05435987256974185)	('X', 0.02281723736748575)	('Y', 0.0008936663885516155)	('KI270733.1', 0.019407892536857266)	('GL000220.1', 0.01996203074498218)	('KI270713.1', 0.0012894466744240824)
SRR10983648	('1', 0.0924369460665393)	('10', 0.0367093945325469)	('11', 0.05448261576150917)	('12', 0.042419400750942526)	('13', 0.01716867313934077)	('14', 0.038669212065285966)	('15', 0.027983232700145404)	('16', 0.038178566525850076)	('17', 0.04117753119891884)	('18', 0.01438092581661619)	('19', 0.024662465676552246)	('2', 0.060541014996381606)	('20', 0.01592841209641062)	('21', 0.058969501612002574)	('22', 0.015996371605612267)	('3', 0.05897588538246752)	('4', 0.03467608824059717)	('5', 0.048429745776645744)	('6', 0.045500801515054715)	('7', 0.04379824490546214)	('8', 0.031434691087587896)	('9', 0.038164793666736724)	('MT', 0.03935976512550216)	('X', 0.02256682965722822)	('Y', 0.002560595679172607)	('KI270733.1', 0.025235094913849006)	('GL000220.1', 0.02571860269418236)	('KI270713.1', 0.0009657086470282116)
SRR10983649	('1', 0.09723844755193131)	('10', 0.0385014690281692)	('11', 0.054069176869649335)	('12', 0.04569782553151304)	('13', 0.018054078165049833)	('14', 0.039705945093963635)	('15', 0.03014048405784457)	('16', 0.04418469535821613)	('17', 0.0447226679028011)	('18', 0.015395314545560007)	('19', 0.02710475616145744)	('2', 0.06483779570513591)	('20', 0.017029725230133366)	('21', 0.03780338703391492)	('22', 0.017017381462681315)	('3', 0.06207039494782781)	('4', 0.03536872870700115)	('5', 0.05000460194825397)	('6', 0.049026028811072285)	('7', 0.046487886569645455)	('8', 0.03336154822961612)	('9', 0.03908282452244001)	('MT', 0.0356070952454684)	('X', 0.025081816408150624)	('Y', 0.0010132075914888884)	('KI270733.1', 0.013697147702884799)	('GL000220.1', 0.014321706383237787)	('KI270713.1', 0.0005285649159928727)
SRR10983650	('1', 0.08564350313363946)	('10', 0.04613690673283679)	('11', 0.03414889075945378)	('12', 0.04222733746364699)	('13', 0.031703415288011585)	('14', 0.031535862319332024)	('15', 0.028380281409200254)	('16', 0.03308772195781655)	('17', 0.021674173305620603)	('18', 0.023995978728751692)	('19', 0.023485341109918737)	('2', 0.07355974260672525)	('20', 0.0259148591557724)	('21', 0.024642254465087148)	('22', 0.01811965675577559)	('3', 0.05921002764623983)	('4', 0.060662153374796045)	('5', 0.059708697195881386)	('6', 0.0459294602001859)	('7', 0.05312226978421571)	('8', 0.04532307802782177)	('9', 0.04525525896907052)	('MT', 0.0005465418264071457)	('X', 0.03200261701779652)	('Y', 0.028962727443181593)	('KI270733.1', 0.0018550507246665896)	('GL000220.1', 0.002405581907470868)	('KI270713.1', 7.978712794264902e-06)
SRR10983651	('1', 0.0925047170093861)	('10', 0.03922125918693733)	('11', 0.05265512222295431)	('12', 0.042078359259414555)	('13', 0.017453953003611883)	('14', 0.03614241474941449)	('15', 0.029396402494174866)	('16', 0.03502967972255)	('17', 0.041282846857423526)	('18', 0.015119767114508024)	('19', 0.023345213208824253)	('2', 0.06136832206242625)	('20', 0.01573857884743245)	('21', 0.05421973177437421)	('22', 0.015162654463339104)	('3', 0.061774553905683774)	('4', 0.034891553708018615)	('5', 0.04866000994315629)	('6', 0.04639344949655284)	('7', 0.04439697153022779)	('8', 0.03160006948229699)	('9', 0.036988062222594924)	('MT', 0.04892020916567335)	('X', 0.024416678147218613)	('Y', 0.0009967115705994047)	('KI270733.1', 0.023460098592983487)	('GL000220.1', 0.023787683663873398)	('KI270713.1', 0.0005123121432293695)
SRR10983652	('1', 0.09772763419092742)	('10', 0.030985437982981638)	('11', 0.03644104016090279)	('12', 0.03344898385277892)	('13', 0.016120386496574664)	('14', 0.04317750293053311)	('15', 0.025943808377495863)	('16', 0.044888698646947826)	('17', 0.03282229810083128)	('18', 0.012223481047910208)	('19', 0.020476097910894775)	('2', 0.05165559576380067)	('20', 0.013489288091530808)	('21', 0.11536450203190174)	('22', 0.016929351080812026)	('3', 0.05325683512895982)	('4', 0.026721356861374494)	('5', 0.039098645900624326)	('6', 0.039038758959315495)	('7', 0.03586147855949326)	('8', 0.03204213160858942)	('9', 0.030677167498211574)	('MT', 0.011893939245188919)	('X', 0.019725711263784633)	('Y', 0.009596309655411195)	('KI270733.1', 0.052605605548606924)	('GL000220.1', 0.05385734079727518)	('KI270713.1', 0.0024936529659743997)
SRR10983653	('1', 0.08362378784310204)	('10', 0.03146397545101641)	('11', 0.03363115863814819)	('12', 0.03969046049677464)	('13', 0.023755987711952718)	('14', 0.030684535055331797)	('15', 0.03529678887501334)	('16', 0.024288040503789604)	('17', 0.012862460964438879)	('18', 0.02442020648392743)	('19', 0.04054106718945654)	('2', 0.04455010192030391)	('20', 0.031521586262871354)	('21', 0.08484039263462714)	('22', 0.023434044939822117)	('3', 0.038812742833808055)	('4', 0.034112378360701294)	('5', 0.0627246186248977)	('6', 0.03898557526937291)	('7', 0.06465796969332409)	('8', 0.04316913687142792)	('9', 0.03478168043960438)	('MT', 0.00038463689091392775)	('X', 0.04520415407842187)	('Y', 0.003973451582348725)	('KI270733.1', 0.03180455701521773)	('GL000220.1', 0.03190622315378529)	('KI270713.1', 0.0001169160593526917)
SRR10983654	('1', 0.09011809712342513)	('10', 0.03916489432233801)	('11', 0.04203614433930449)	('12', 0.04166705820075989)	('13', 0.0274762965259963)	('14', 0.03123658995730712)	('15', 0.030384089724996895)	('16', 0.030326142679199933)	('17', 0.02678145402189041)	('18', 0.025123959693914306)	('19', 0.022041281266607572)	('2', 0.0653094528859195)	('20', 0.020203159210291394)	('21', 0.045522885950817056)	('22', 0.017280226693019523)	('3', 0.05509615555284092)	('4', 0.054231126229547566)	('5', 0.05938162671452779)	('6', 0.048268845057952266)	('7', 0.04861548324181877)	('8', 0.040847446832280365)	('9', 0.03813594272534875)	('MT', 0.00032366818373076654)	('X', 0.05075273734535708)	('Y', 0.005883452307493127)	('KI270733.1', 0.013939657809643433)	('GL000220.1', 0.014194938038424634)	('KI270713.1', 3.863136386463988e-05)
SRR10983655	('1', 0.05419200653776523)	('10', 0.01875625493517173)	('11', 0.028832225392959047)	('12', 0.031876066653877974)	('13', 0.011562862625142075)	('14', 0.016432975596892448)	('15', 0.018284031597656465)	('16', 0.020922567103878065)	('17', 0.022483977369630093)	('18', 0.006701837226366982)	('19', 0.022506448459168955)	('2', 0.03374100185700423)	('20', 0.009405803258010572)	('21', 0.2340783656115664)	('22', 0.014209990018540302)	('3', 0.03106033305789726)	('4', 0.01773861199054033)	('5', 0.02829126695803078)	('6', 0.024803621678719266)	('7', 0.038399291764130886)	('8', 0.021144964798873008)	('9', 0.02187345769429107)	('MT', 0.00420093714357093)	('X', 0.020425559476430225)	('Y', 0.001001615770475004)	('KI270733.1', 0.12194151535444592)	('GL000220.1', 0.12224256186282689)	('KI270713.1', 7.18744408044584e-05)
SRR10983656	('1', 0.08065504480031652)	('10', 0.04213208011464249)	('11', 0.05320550245352299)	('12', 0.0418811790420404)	('13', 0.019833247287132153)	('14', 0.03654953124924609)	('15', 0.03404293303353872)	('16', 0.038742503124200856)	('17', 0.03595605371212962)	('18', 0.014086647720419005)	('19', 0.030438642625197222)	('2', 0.06418001186955075)	('20', 0.019160156909670788)	('21', 0.06525116644873658)	('22', 0.020026248112210678)	('3', 0.05836586201406011)	('4', 0.034192508672974575)	('5', 0.045374493975961744)	('6', 0.043794299720631306)	('7', 0.04522250582621241)	('8', 0.03446029731777103)	('9', 0.04271832012081852)	('MT', 0.009527003227938799)	('X', 0.025328945781243214)	('Y', 0.001430618615894583)	('KI270733.1', 0.02975348969616845)	('GL000220.1', 0.030747443945322868)	('KI270713.1', 0.00026055111385601173)
SRR10983657	('1', 0.06924013883540622)	('10', 0.019841058003135938)	('11', 0.03463064840743889)	('12', 0.028218234467520385)	('13', 0.009417498039631825)	('14', 0.023269301692280298)	('15', 0.016605596057715062)	('16', 0.027482099535598627)	('17', 0.02347274380258368)	('18', 0.007806155149184913)	('19', 0.014442355410437134)	('2', 0.03403879462014429)	('20', 0.010733361609074104)	('21', 0.230375485779071)	('22', 0.011381690926188924)	('3', 0.0313920941419414)	('4', 0.01878568171172611)	('5', 0.027243014367570092)	('6', 0.024246881720710114)	('7', 0.022388722862043138)	('8', 0.020714638424778664)	('9', 0.02237383089956893)	('MT', 0.017343358526519248)	('X', 0.014474906148085675)	('Y', 0.0005516536262986524)	('KI270733.1', 0.1175732643865309)	('GL000220.1', 0.11779037780664667)	('KI270713.1', 0.0022034408082738767)
SRR10983658	('1', 0.10266061200049283)	('10', 0.043583853248766916)	('11', 0.05887431440042361)	('12', 0.046891690857065293)	('13', 0.019590609614216666)	('14', 0.03945532261372132)	('15', 0.03263518163442634)	('16', 0.04378892543488392)	('17', 0.04790886507149682)	('18', 0.016903547445608114)	('19', 0.02784554840234213)	('2', 0.06468698393998754)	('20', 0.018661164654368467)	('21', 0.03327566583522647)	('22', 0.018417180298879825)	('3', 0.05884844033455571)	('4', 0.03545697087257356)	('5', 0.049241480534263075)	('6', 0.048010339923572454)	('7', 0.0466692345329433)	('8', 0.03273473614567584)	('9', 0.041571841415828883)	('MT', 0.02092534755894865)	('X', 0.023119690699799487)	('Y', 0.0009494569326678982)	('KI270733.1', 0.011875084457094886)	('GL000220.1', 0.012330710585737306)	('KI270713.1', 0.0007863290330164198)
SRR10983659	('1', 0.08873215137910304)	('10', 0.038371806627628346)	('11', 0.06905881214423726)	('12', 0.04464545369475567)	('13', 0.014959634673909181)	('14', 0.035171256134911046)	('15', 0.029783515246698034)	('16', 0.03907590806151874)	('17', 0.04531936705634078)	('18', 0.015084014450433829)	('19', 0.02790410792647784)	('2', 0.059073507771614873)	('20', 0.01849914003957773)	('21', 0.06144526963973886)	('22', 0.016719703810128213)	('3', 0.05287056596548772)	('4', 0.03277311813029221)	('5', 0.041188888674382106)	('6', 0.04939967544440716)	('7', 0.04299980411568561)	('8', 0.036715397552319125)	('9', 0.03622138296785272)	('MT', 0.02167146991073061)	('X', 0.021842822573693636)	('Y', 0.0007593745031418343)	('KI270733.1', 0.028336024846935405)	('GL000220.1', 0.029392176997771)	('KI270713.1', 0.0002496817955840814)
SRR10983660	('1', 0.0904344105128716)	('10', 0.036674140228408064)	('11', 0.05270707850908348)	('12', 0.04064035014763279)	('13', 0.016657466053002067)	('14', 0.04505721006068887)	('15', 0.02543439920579063)	('16', 0.037420784475227065)	('17', 0.04027060859986426)	('18', 0.013341350472522913)	('19', 0.023324623530739053)	('2', 0.058138937390682516)	('20', 0.015928661867271453)	('21', 0.06805091302166161)	('22', 0.014979872139528375)	('3', 0.06012138277057154)	('4', 0.03207887970446808)	('5', 0.043058683498973696)	('6', 0.04501499695839522)	('7', 0.04057068596542496)	('8', 0.03158413209484782)	('9', 0.03873385066160243)	('MT', 0.04217735935436065)	('X', 0.021819462602080956)	('Y', 0.0008617880213789261)	('KI270733.1', 0.030787045703472557)	('GL000220.1', 0.031477342996783515)	('KI270713.1', 0.0007176855561086253)
SRR10983661	('1', 0.11522909143964684)	('10', 0.03908223899529523)	('11', 0.05868714117259673)	('12', 0.043132638474190736)	('13', 0.016927524538392788)	('14', 0.0465760062315678)	('15', 0.02718009199056973)	('16', 0.037618526157675566)	('17', 0.04270639078531627)	('18', 0.01484611631250005)	('19', 0.024929161361409404)	('2', 0.05743301423390225)	('20', 0.015215756873181696)	('21', 0.048666483557223826)	('22', 0.01761976593351134)	('3', 0.06121861593179718)	('4', 0.033101317192063204)	('5', 0.042530490114083296)	('6', 0.047432886668542944)	('7', 0.04053608544965593)	('8', 0.03185556173007329)	('9', 0.03878604817665251)	('MT', 0.030484832080136557)	('X', 0.02134995642845696)	('Y', 0.0009280379889640019)	('KI270733.1', 0.02002706378826064)	('GL000220.1', 0.020117057162834788)	('KI270713.1', 0.002241064245901365)
SRR10983662	('1', 0.09916355132046188)	('10', 0.0420562478369303)	('11', 0.056741459209735216)	('12', 0.04521695306178187)	('13', 0.01823960728599379)	('14', 0.03956323927600968)	('15', 0.029941274243698926)	('16', 0.04007922099175211)	('17', 0.0456288193655215)	('18', 0.016704693712073834)	('19', 0.024871649291006968)	('2', 0.06437151396840625)	('20', 0.017420607197241915)	('21', 0.03688593683363221)	('22', 0.01585620111531063)	('3', 0.06030367406690849)	('4', 0.03539039232854599)	('5', 0.04829569654925311)	('6', 0.050276907215335224)	('7', 0.047573130102975494)	('8', 0.03296110130237544)	('9', 0.042895275396238705)	('MT', 0.031587984999150207)	('X', 0.02414242988361982)	('Y', 0.0009318946659301313)	('KI270733.1', 0.01474296181872478)	('GL000220.1', 0.01534426604601627)	('KI270713.1', 0.0005132382266250955)
SRR10983663	('1', 0.09541414505258661)	('10', 0.040821911603839196)	('11', 0.05441802262767136)	('12', 0.04342158571459909)	('13', 0.017819268128556227)	('14', 0.04060837201549496)	('15', 0.029540518604459158)	('16', 0.04159159119719962)	('17', 0.043319572287587566)	('18', 0.01562913852748978)	('19', 0.02560544117044683)	('2', 0.06331931530177978)	('20', 0.016738933868109915)	('21', 0.04532186088108791)	('22', 0.016641676808258985)	('3', 0.06199392164673098)	('4', 0.03495716891371886)	('5', 0.04854383819378448)	('6', 0.048245464892650566)	('7', 0.04536481016664252)	('8', 0.032977029373264855)	('9', 0.040630734040205216)	('MT', 0.0324776108214026)	('X', 0.02380171315826258)	('Y', 0.0009460201310755403)	('KI270733.1', 0.0185814937136799)	('GL000220.1', 0.01906813396570773)	('KI270713.1', 0.00047996713989207024)
