Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27
SRR10983649	('1', 1622772)	('10', 642535)	('11', 902338)	('12', 762632)	('13', 301297)	('14', 662636)	('15', 503002)	('16', 737380)	('17', 746358)	('18', 256926)	('19', 452340)	('2', 1082051)	('20', 284202)	('21', 630885)	('22', 283996)	('3', 1035867)	('4', 590254)	('5', 834506)	('6', 818175)	('7', 775817)	('8', 556757)	('9', 652237)	('MT', 594232)	('X', 418580)	('Y', 16909)	('KI270733.1', 228586)	('GL000220.1', 239009)	('KI270713.1', 8821)
SRR10983650	('1', 21468)	('10', 11565)	('11', 8560)	('12', 10585)	('13', 7947)	('14', 7905)	('15', 7114)	('16', 8294)	('17', 5433)	('18', 6015)	('19', 5887)	('2', 18439)	('20', 6496)	('21', 6177)	('22', 4542)	('3', 14842)	('4', 15206)	('5', 14967)	('6', 11513)	('7', 13316)	('8', 11361)	('9', 11344)	('MT', 137)	('X', 8022)	('Y', 7260)	('KI270733.1', 465)	('GL000220.1', 603)	('KI270713.1', 2)
SRR10983651	('1', 1544357)	('10', 654795)	('11', 879072)	('12', 702494)	('13', 291392)	('14', 603394)	('15', 490770)	('16', 584817)	('17', 689213)	('18', 252423)	('19', 389746)	('2', 1024538)	('20', 262754)	('21', 905193)	('22', 253139)	('3', 1031320)	('4', 582511)	('5', 812374)	('6', 774534)	('7', 741203)	('8', 527560)	('9', 617512)	('MT', 816718)	('X', 407634)	('Y', 16640)	('KI270733.1', 391664)	('GL000220.1', 397133)	('KI270713.1', 8553)
SRR10983652	('1', 298632)	('10', 94684)	('11', 111355)	('12', 102212)	('13', 49260)	('14', 131940)	('15', 79278)	('16', 137169)	('17', 100297)	('18', 37352)	('19', 62570)	('2', 157847)	('20', 41220)	('21', 352526)	('22', 51732)	('3', 162740)	('4', 81654)	('5', 119476)	('6', 119293)	('7', 109584)	('8', 97913)	('9', 93742)	('MT', 36345)	('X', 60277)	('Y', 29324)	('KI270733.1', 160750)	('GL000220.1', 164575)	('KI270713.1', 7620)
SRR10983653	('1', 49352)	('10', 18569)	('11', 19848)	('12', 23424)	('13', 14020)	('14', 18109)	('15', 20831)	('16', 14334)	('17', 7591)	('18', 14412)	('19', 23926)	('2', 26292)	('20', 18603)	('21', 50070)	('22', 13830)	('3', 22906)	('4', 20132)	('5', 37018)	('6', 23008)	('7', 38159)	('8', 25477)	('9', 20527)	('MT', 227)	('X', 26678)	('Y', 2345)	('KI270733.1', 18770)	('GL000220.1', 18830)	('KI270713.1', 69)
SRR10983654	('1', 172625)	('10', 75022)	('11', 80522)	('12', 79815)	('13', 52632)	('14', 59835)	('15', 58202)	('16', 58091)	('17', 51301)	('18', 48126)	('19', 42221)	('2', 125103)	('20', 38700)	('21', 87201)	('22', 33101)	('3', 105539)	('4', 103882)	('5', 113748)	('6', 92461)	('7', 93125)	('8', 78245)	('9', 73051)	('MT', 620)	('X', 97219)	('Y', 11270)	('KI270733.1', 26702)	('GL000220.1', 27191)	('KI270713.1', 74)
SRR10983655	('1', 327982)	('10', 113517)	('11', 174499)	('12', 192921)	('13', 69981)	('14', 99456)	('15', 110659)	('16', 126628)	('17', 136078)	('18', 40561)	('19', 136214)	('2', 204208)	('20', 56926)	('21', 1416694)	('22', 86002)	('3', 187984)	('4', 107358)	('5', 171225)	('6', 150117)	('7', 232401)	('8', 127974)	('9', 132383)	('MT', 25425)	('X', 123620)	('Y', 6062)	('KI270733.1', 738017)	('GL000220.1', 739839)	('KI270713.1', 435)
SRR10983656	('1', 33432)	('10', 17464)	('11', 22054)	('12', 17360)	('13', 8221)	('14', 15150)	('15', 14111)	('16', 16059)	('17', 14904)	('18', 5839)	('19', 12617)	('2', 26603)	('20', 7942)	('21', 27047)	('22', 8301)	('3', 24193)	('4', 14173)	('5', 18808)	('6', 18153)	('7', 18745)	('8', 14284)	('9', 17707)	('MT', 3949)	('X', 10499)	('Y', 593)	('KI270733.1', 12333)	('GL000220.1', 12745)	('KI270713.1', 108)
SRR10983657	('1', 850858)	('10', 243817)	('11', 425559)	('12', 346760)	('13', 115727)	('14', 285945)	('15', 204058)	('16', 337714)	('17', 288445)	('18', 95926)	('19', 177475)	('2', 418286)	('20', 131897)	('21', 2830971)	('22', 139864)	('3', 385762)	('4', 230848)	('5', 334776)	('6', 297958)	('7', 275124)	('8', 254552)	('9', 274941)	('MT', 213124)	('X', 177875)	('Y', 6779)	('KI270733.1', 1444800)	('GL000220.1', 1447468)	('KI270713.1', 27077)
SRR10983658	('1', 1015732)	('10', 431222)	('11', 582507)	('12', 463950)	('13', 193831)	('14', 390374)	('15', 322895)	('16', 433251)	('17', 474014)	('18', 167245)	('19', 275506)	('2', 640018)	('20', 184635)	('21', 329232)	('22', 182221)	('3', 582251)	('4', 350814)	('5', 487199)	('6', 475018)	('7', 461749)	('8', 323880)	('9', 411315)	('MT', 207037)	('X', 228748)	('Y', 9394)	('KI270733.1', 117493)	('GL000220.1', 122001)	('KI270713.1', 7780)
SRR10983659	('1', 1443202)	('10', 624106)	('11', 1123221)	('12', 726145)	('13', 243314)	('14', 572050)	('15', 484420)	('16', 635558)	('17', 737106)	('18', 245337)	('19', 453852)	('2', 960813)	('20', 300883)	('21', 999389)	('22', 271941)	('3', 859924)	('4', 533045)	('5', 669925)	('6', 803471)	('7', 699379)	('8', 597165)	('9', 589130)	('MT', 352480)	('X', 355267)	('Y', 12351)	('KI270733.1', 460877)	('GL000220.1', 478055)	('KI270713.1', 4061)
SRR10983660	('1', 1439646)	('10', 583824)	('11', 839056)	('12', 646963)	('13', 265174)	('14', 717276)	('15', 404896)	('16', 595710)	('17', 641077)	('18', 212384)	('19', 371310)	('2', 925527)	('20', 253572)	('21', 1083318)	('22', 238468)	('3', 957086)	('4', 510671)	('5', 685461)	('6', 716604)	('7', 645854)	('8', 502795)	('9', 616613)	('MT', 671431)	('X', 347349)	('Y', 13719)	('KI270733.1', 490106)	('GL000220.1', 501095)	('KI270713.1', 11425)
SRR10983661	('1', 1156217)	('10', 392154)	('11', 588871)	('12', 432796)	('13', 169852)	('14', 467347)	('15', 272727)	('16', 377467)	('17', 428519)	('18', 148967)	('19', 250141)	('2', 576287)	('20', 152676)	('21', 488323)	('22', 176798)	('3', 614272)	('4', 332141)	('5', 426754)	('6', 475945)	('7', 406742)	('8', 319641)	('9', 389182)	('MT', 305887)	('X', 214227)	('Y', 9312)	('KI270733.1', 200953)	('GL000220.1', 201856)	('KI270713.1', 22487)
SRR10983662	('1', 1445802)	('10', 613179)	('11', 827289)	('12', 659262)	('13', 265933)	('14', 576831)	('15', 436543)	('16', 584354)	('17', 665267)	('18', 243554)	('19', 362628)	('2', 938535)	('20', 253992)	('21', 537796)	('22', 231183)	('3', 879226)	('4', 515991)	('5', 704150)	('6', 733036)	('7', 693615)	('8', 480572)	('9', 625412)	('MT', 460552)	('X', 351996)	('Y', 13587)	('KI270733.1', 214952)	('GL000220.1', 223719)	('KI270713.1', 7483)
SRR10983663	('1', 1344040)	('10', 575033)	('11', 766553)	('12', 611653)	('13', 251009)	('14', 572025)	('15', 416119)	('16', 585875)	('17', 610216)	('18', 220158)	('19', 360688)	('2', 891940)	('20', 235791)	('21', 638421)	('22', 234421)	('3', 873270)	('4', 492420)	('5', 683807)	('6', 679604)	('7', 639026)	('8', 464527)	('9', 572340)	('MT', 457492)	('X', 335280)	('Y', 13326)	('KI270733.1', 261746)	('GL000220.1', 268601)	('KI270713.1', 6761)
